PROVIDER_ID,Std_Outcomes_Mortality_score,lower_Outcomes_Mortality_score,upper_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,lower_Outcomes_Readmission_score,upper_Outcomes_Readmission_score,Std_Outcomes_Safety_score,lower_Outcomes_Safety_score,upper_Outcomes_Safety_score,Std_PatientExp_score,lower_PtExp_score,upper_PtExp_score,Std_Efficiency_score,lower_Efficiency_score,upper_Efficiency_score,Std_Process_Effect_score,lower_Process_Effect_score,upper_Process_Effect_score,Std_Process_Time_score,lower_Process_Time_score,upper_Process_Time_score,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Efficiency,weight_Process_time,weight_Process_Effect,summary_score,Lower_summary_score,Upper_summary_score,Summary_score_win,star,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Efficiency_cnt,Process_Timeliness_cnt,Process_Effectiveness_cnt,Total_measure_group_cnt,Outcomes_Measure_Group_cnt,report_indicator,Out_Mrt_Grp_Score_Cat,Out_Readm_grp_Score_Cat,Out_Sft_Grp_Score_Cat,Pt_Exp_Grp_Score_Cat,Eff_Imaging_Grp_Score_Cat,Prc_Effect_of_Care_Grp_Score_Cat,Prc_Time_of_Care_Grp_Score_Cat
010001,-0.273854121,-0.914112674,0.366404433,0.107373643,-0.160329351,0.375076637,1.229141018,0.955498151,1.502783884,-0.447871414,-0.747327912,-0.148414917,0.326964946,-0.087806059,0.741735951,-0.668498948,-1.794123003,0.457125107,-0.071328592,-0.503302537,0.360645353,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.118739104,-0.065266069,0.302744277,0.118739104,3,7,8,8,11,5,5,9,7,3,1,Same as the national avera,Same as the national avera,Above the national average,Below the national average,Same as the national avera,Same as the national avera,Same as the national avera
010005,-1.760327565,-2.520641732,-1.000013398,0.795139271,0.41429723,1.175981312,0.201947591,-0.199006566,0.602901748,0.03654396,-0.309103302,0.382191222,-0.768022725,-1.297146531,-0.238898918,0.686691159,-0.052970541,1.426352859,0.43364635,0.143768113,0.723524586,0.22,0.22,0.22,0.22,0.04,0.04,0.04,-0.145780692,-0.369376857,0.077815473,-0.145780692,3,6,7,7,11,5,6,8,7,3,1,Below the national average,Above the national average,Same as the national avera,Same as the national avera,Below the national average,Same as the national avera,Above the national average
010006,-1.772377862,-2.441183027,-1.103572698,0.199259956,-0.10863714,0.507157052,-0.162238558,-0.487604938,0.163127822,-0.809348818,-1.352250544,-0.266447093,-0.459691098,-0.974807323,0.055425127,-0.031777305,-1.076393749,1.01283914,0.654309599,0.205649974,1.102969224,0.22,0.22,0.22,0.22,0.04,0.04,0.04,-0.553321514,-0.772628711,-0.334014317,-0.553321514,2,7,7,8,11,5,5,9,7,3,1,Below the national average,Same as the national avera,Same as the national avera,Below the national average,Same as the national avera,Same as the national avera,Above the national average
010007,-1.054520375,-2.36731108,0.258270329,-0.977010401,-1.754472121,-0.199548681,0.470358353,-0.406790722,1.347507429,0.208492808,-0.424776955,0.841762572,-1.483948469,-2.605204195,-0.362692744,-2.442508606,-3.557299949,-1.327717263,0.689054098,0.239600894,1.138507303,0.22,0.22,0.22,0.22,0.04,0.04,0.04,-0.427085634,-0.843683663,-0.010487606,-0.427085634,2,4,2,5,11,2,6,6,5,2,1,Same as the national avera,Below the national average,Same as the national avera,Same as the national avera,Below the national average,Below the national average,Above the national average
010008,-0.00392053,-1.685083241,1.677242182,-0.049218879,-1.256295931,1.157858173,-0.055049223,-1.374021755,1.263923309,,,,0.372808416,-0.978575501,1.724192334,-0.319180302,-1.896129177,1.257768572,0.984101943,0.54343275,1.424771136,,0.282051282,0.282051282,0.282051282,0.051282051,0.051282051,0.051282051,0.022702184,-0.677839632,0.723244,0.022702184,3,3,1,4,0,2,5,5,4,2,1,Same as the national avera,Same as the national avera,Same as the national avera,missing,Same as the national avera,Same as the national avera,Above the national average
010011,-0.578618867,-1.431154416,0.273916682,0.335869309,-0.039801478,0.711540096,-0.632825323,-1.012782238,-0.252868408,-0.965449202,-1.176282963,-0.75461544,0.691377191,-0.080639529,1.463393911,-2.40393338,-3.530138993,-1.277727766,-0.073780663,-0.495897569,0.348336243,0.22,0.22,0.22,0.22,0.04,0.04,0.04,-0.476478772,-0.709691857,-0.243265688,-0.476478772,2,7,8,8,11,4,5,10,7,3,1,Same as the national avera,Above the national average,Below the national average,Below the national average,Same as the national avera,Below the national average,Same as the national avera
010012,-1.728504116,-2.845386282,-0.61162195,0.109295188,-0.534988415,0.753578791,-0.078788593,-0.805981976,0.64840479,-0.296690599,-0.760760023,0.167378826,0.147317278,-0.775980033,1.07061459,0.376484837,-0.736266803,1.489236477,0.912363307,0.421344722,1.403381892,0.22,0.22,0.22,0.22,0.04,0.04,0.04,-0.38138477,-0.72801895,-0.03475059,-0.38138477,3,5,4,6,11,3,6,8,7,3,1,Below the national average,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,Above the national average
010016,-0.760898175,-1.633918337,0.112121987,0.972085035,0.580084181,1.364085889,0.50972502,0.087666744,0.931783296,-0.899933109,-1.225270944,-0.574595273,-2.779188982,-3.392271695,-2.16610627,0.691752229,-0.422432462,1.805936919,-0.366740935,-0.743379445,0.009897575,0.22,0.22,0.22,0.22,0.04,0.04,0.04,-0.137551778,-0.384239804,0.109136249,-0.137551778,3,7,7,8,11,5,5,8,7,3,1,Same as the national avera,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national avera,Below the national average
010018,,,,,,,0.00416363,-1.778261802,1.786589061,,,,,,,-0.361350557,-2.253214368,1.530513253,0.848355836,-0.343233863,2.039945535,,,,0.733333333,,0.133333333,0.133333333,0.067987365,-1.272355705,1.408330436,0.067987365,3,0,1,0,0,0,3,3,2,0,0,missing,missing,Same as the national avera,missing,missing,Same as the national avera,Same as the national avera
010019,-0.931474181,-1.801341311,-0.061607051,-0.599882381,-1.020892416,-0.178872346,-0.541833506,-0.996552501,-0.087114512,-0.518556594,-0.892171288,-0.144941899,-1.496861814,-2.121802417,-0.87192121,0.49585862,-0.509560274,1.501277514,1.001266829,0.592837532,1.409696126,0.22,0.22,0.22,0.22,0.04,0.04,0.04,-0.57017372,-0.824028884,-0.316318556,-0.57017372,2,6,7,6,11,4,7,8,7,3,1,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national avera,Above the national average
010021,0.537455377,-0.818870603,1.893781357,0.713977202,-0.144087129,1.572041532,-0.634577126,-1.513581618,0.244427365,0.63880526,0.00891466,1.26869586,0.415325965,-0.648817221,1.47946915,-0.015342969,-1.391223296,1.360537358,1.150683221,0.71437647,1.586989972,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.338272005,-0.093382228,0.769926239,0.338272005,4,4,3,5,11,4,6,6,7,3,1,Same as the national avera,Same as the national avera,Same as the national avera,Above the national average,Same as the national avera,Same as the national avera,Above the national average
010022,-0.207620271,-1.73069049,1.315449948,0.434456617,-0.747636856,1.616550089,0.144780166,-0.952908738,1.242469069,0.806717901,0.00747169,1.605964113,0.107546435,-1.032480172,1.247573043,-0.171626621,-1.596300607,1.253047364,0.444861773,-0.156441674,1.04616522,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.274464834,-0.249855263,0.798784932,0.274464834,4,3,1,4,11,2,6,6,5,2,1,Same as the national avera,Same as the national avera,Same as the national avera,Above the national average,Same as the national avera,Same as the national avera,Same as the national avera
010023,-1.024837801,-1.886235401,-0.163440202,-0.234053247,-0.593440387,0.125333893,1.763633026,1.407233871,2.120032182,-0.798782551,-1.096860539,-0.500704564,0.801059519,0.291923969,1.310195069,-0.324625588,-1.400453738,0.751202562,-1.86120445,-2.238342514,-1.484066386,0.22,0.22,0.22,0.22,0.04,0.04,0.04,-0.120079747,-0.35476954,0.114610046,-0.120079747,3,7,7,8,11,4,5,10,7,3,1,Below the national average,Same as the national avera,Above the national average,Below the national average,Above the national average,Same as the national avera,Below the national average
010024,-0.461828174,-1.235790179,0.31213383,0.63765628,0.296474832,0.978837728,0.683789207,0.324259427,1.043318987,0.013182681,-0.255036685,0.281402047,-0.020906206,-0.743769485,0.701957074,0.309995946,-0.709472264,1.329464156,-0.395692201,-0.733727716,-0.057656686,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.1877519,-0.029096084,0.404599884,0.1877519,3,7,8,8,11,4,5,8,7,3,1,Same as the national avera,Above the national average,Above the national average,Same as the national avera,Same as the national avera,Same as the national avera,Below the national average
010029,-0.54609938,-1.277701635,0.185502875,0.370758502,0.064232747,0.677284256,1.592968679,1.275907232,1.910030125,0.385606764,0.125775059,0.645438469,-0.351043412,-0.917554735,0.215467912,0.155063567,-0.760847292,1.070974426,0.427079414,0.095154327,0.759004501,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.405955587,0.204465547,0.607445627,0.405955587,4,7,8,8,11,5,6,9,7,3,1,Same as the national avera,Above the national average,Above the national average,Above the national average,Same as the national avera,Same as the national avera,Above the national average
010032,0.213589101,-1.349348496,1.776526697,0.517738791,-0.778671215,1.814148797,0.012922891,-1.319394331,1.345240113,,,,0.380715875,-1.173214839,1.934646588,-0.26782258,-1.704142015,1.168496854,0.40013024,-0.158534469,0.958794949,,0.282051282,0.282051282,0.282051282,0.051282051,0.051282051,0.051282051,0.236225787,-0.457749393,0.930200966,0.236225787,4,3,1,4,0,1,6,6,4,2,1,Same as the national avera,Same as the national avera,Same as the national avera,missing,Same as the national avera,Same as the national avera,Same as the national avera
010033,0.51465237,-0.211421598,1.240726339,-1.307327986,-1.55934996,-1.055306011,0.45414285,0.233490427,0.674795274,0.833040492,0.676263155,0.98981783,-1.772049664,-2.134485229,-1.409614099,-0.363253425,-1.1828125,0.45630565,-1.773127362,-2.231718886,-1.314535839,0.22,0.22,0.22,0.22,0.04,0.04,0.04,-0.047545518,-0.231231312,0.136140276,-0.047545518,3,7,8,8,11,5,5,9,7,3,1,Same as the national avera,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national avera,Below the national average
010034,1.126821775,-0.237408939,2.491052489,0.796791316,-0.102530188,1.69611282,-0.595098257,-1.561314389,0.371117875,0.381292901,-0.128807616,0.891393418,-0.393680494,-1.777760084,0.990399096,0.249172561,-0.849021454,1.347366575,0.267725487,-0.154538249,0.689989222,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.381086404,-0.05730445,0.819477258,0.381086404,4,4,2,5,11,2,6,6,5,2,1,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera
010035,-1.149104046,-1.97534629,-0.322861802,-0.171927131,-0.574644649,0.230790388,1.442860145,0.988544988,1.897175301,-0.165701222,-0.441257206,0.109854762,-0.143320645,-0.851237043,0.564595752,0.788415636,-0.200745198,1.777576469,0.412241423,0.055185664,0.769297183,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.032641561,-0.206312307,0.271595429,0.032641561,3,6,7,7,11,5,6,9,7,3,1,Below the national average,Same as the national avera,Above the national average,Same as the national avera,Same as the national avera,Same as the national avera,Above the national average
010036,0.689253625,-0.404723202,1.783230452,-0.875505729,-1.468862851,-0.282148607,-0.74888672,-1.391311073,-0.106462367,-0.607562807,-1.081901923,-0.133223692,-0.06547328,-0.932299297,0.801352736,0.984703383,-0.109728656,2.079135423,1.292296046,0.837896639,1.746695452,0.22,0.22,0.22,0.22,0.04,0.04,0.04,-0.250933313,-0.581424486,0.07955786,-0.250933313,3,4,4,6,11,3,6,8,7,3,1,Same as the national avera,Below the national average,Below the national average,Below the national average,Same as the national avera,Same as the national avera,Above the national average
010038,0.69196333,-0.46130505,1.845231709,-0.506033935,-1.130022128,0.117954259,0.074497809,-0.562148425,0.711144042,-1.390422313,-1.831986754,-0.948857871,0.279406169,-0.840397157,1.399209495,0.558356831,-0.727848274,1.844561936,1.004959613,0.572107603,1.437811624,0.22,0.22,0.22,0.22,0.04,0.04,0.04,-0.174890019,-0.517187508,0.16740747,-0.174890019,3,5,4,7,11,4,5,6,7,3,1,Same as the national avera,Same as the national avera,Same as the national avera,Below the national average,Same as the national avera,Same as the national avera,Above the national average
010039,-0.514056374,-0.983005194,-0.045107553,0.435177333,0.244328729,0.626025936,0.895517381,0.698964064,1.092070698,0.044452337,-0.144877148,0.233781822,-0.944413892,-1.334617822,-0.554209963,0.531830484,-0.425144556,1.488805524,-0.641343309,-1.028977669,-0.253708949,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.14728288,0.013298445,0.281267315,0.14728288,3,7,8,8,11,5,5,9,7,3,1,Below the national average,Above the national average,Above the national average,Same as the national avera,Below the national average,Same as the national avera,Below the national average
010040,-0.722211521,-1.473185508,0.028762466,-0.460133151,-0.790665377,-0.129600924,-0.573939613,-0.914847227,-0.233031998,-1.00008632,-1.221928082,-0.778244557,-0.509606721,-1.211288591,0.192075149,-1.913263034,-2.990616554,-0.835909513,-1.216350868,-1.616226417,-0.816475319,0.22,0.22,0.22,0.22,0.04,0.04,0.04,-0.751970358,-0.960463806,-0.543476909,-0.751970358,2,7,7,8,11,4,5,10,7,3,1,Same as the national avera,Below the national average,Below the national average,Below the national average,Same as the national avera,Below the national average,Below the national average
010044,0.695937065,-0.785889433,2.177763562,0.68502043,-0.57038834,1.9404292,-0.020452959,-1.358305664,1.317399747,2.267823712,1.423600472,3.112046953,0.43594418,-0.771527405,1.643415765,0.130658578,-1.417114338,1.678431495,0.86117746,0.235318479,1.487036442,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.855343423,0.298279551,1.412407295,0.855343423,5,3,1,4,11,2,6,4,5,2,1,Same as the national avera,Same as the national avera,Same as the national avera,Above the national average,Same as the national avera,Same as the national avera,Above the national average
010045,0.199374245,-1.104196878,1.502945367,-0.565154732,-1.408837093,0.278527629,-0.031327052,-1.001108842,0.938454738,1.97490971,1.298790322,2.651029098,0.703775362,-0.322359543,1.729910267,0.138291976,-1.049967243,1.326551195,0.540625019,0.097341083,0.983908955,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.402424172,-0.031748734,0.836597078,0.402424172,4,4,2,5,11,4,6,6,6,2,1,Same as the national avera,Same as the national avera,Same as the national avera,Above the national average,Same as the national avera,Same as the national avera,Above the national average
010046,-0.033257164,-1.005251743,0.938737415,-0.189438833,-0.716526438,0.337648772,0.947914718,0.453995172,1.441834264,-2.155141011,-2.531964978,-1.778317044,0.534141261,-0.675984223,1.744266745,0.549601832,-0.255921596,1.35512526,0.082279604,-0.283960894,0.448520103,0.22,0.22,0.22,0.22,0.04,0.04,0.04,-0.267941996,-0.553264696,0.017380704,-0.267941996,3,7,7,8,11,3,5,6,7,3,1,Same as the national avera,Same as the national avera,Above the national average,Below the national average,Same as the national avera,Same as the national avera,Same as the national avera
010047,0.383275757,-1.263926064,2.030477577,-0.268983881,-1.34401809,0.806050327,-0.067129568,-1.197641157,1.063382021,-0.362519516,-1.221426935,0.496387903,0.381344327,-1.113534177,1.876222831,-0.04236195,-1.860769447,1.776045548,1.504717351,0.995343021,2.01409168,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.004369403,-0.537808462,0.546547269,0.004369403,3,2,1,3,11,1,4,3,4,1,1,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,Above the national average
010049,-1.721871659,-2.922302197,-0.52144112,0.796594944,0.132853152,1.460336737,0.628412226,-0.078323537,1.335147989,-0.421047341,-0.874107934,0.032013252,0.547296328,-0.180365436,1.274958091,1.036572657,0.127237743,1.94590757,0.332672414,-0.194922335,0.860267163,0.22,0.22,0.22,0.22,0.04,0.04,0.04,-0.081278946,-0.438672569,0.276114676,-0.081278946,3,4,4,6,11,5,6,8,7,3,1,Below the national average,Above the national average,Same as the national avera,Same as the national avera,Same as the national avera,Above the national average,Same as the national avera
010051,0.069825982,-1.599212486,1.73886445,0.402350211,-0.886884719,1.691585141,-0.050839414,-1.429448666,1.327769838,,,,,,,-0.45542641,-2.299455379,1.388602559,0.747915431,0.100277466,1.395553396,,0.297297297,0.297297297,0.297297297,,0.054054054,0.054054054,0.141072503,-0.615222632,0.897367638,0.141072503,3,3,1,4,0,0,4,3,4,2,1,Same as the national avera,Same as the national avera,Same as the national avera,missing,missing,Same as the national avera,Above the national average
010052,0.134775784,-1.442781615,1.712333182,0.74066619,-0.342487581,1.82381996,-0.06696641,-1.200232123,1.066299302,0.123387592,-0.489962679,0.736737863,,,,-1.803767358,-3.194263372,-0.413271345,0.574917668,0.15576346,0.994071877,0.229166667,0.229166667,0.229166667,0.229166667,,0.041666667,0.041666667,0.162349903,-0.369664454,0.694364259,0.162349903,3,3,1,4,11,0,6,6,5,2,1,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,missing,Below the national average,Above the national average
